0	0	Полицейским разрешат стрелять на поражение по гражданам с травматикой.	Полиции могут разрешить стрелять по хулиганам с травматикой.	1
1	0	Право полицейских на проникновение в жилище решили ограничить.	Правила внесудебного проникновения полицейских в жилище уточнят.	2
2	0	Президент Египта ввел чрезвычайное положение в мятежных городах.	Власти Египта угрожают ввести в стране чрезвычайное положение.	3
4	0	В Москву из Сирии вернулись 2 самолета МЧС с россиянами на борту.	Самолеты МЧС вывезут россиян из разрушенной Сирии.	5
5	1	Приставы соберут отпечатки пальцев российских должников.	Приставы снимут отпечатки пальцев у злостных неплательщиков.	6
7	0	ЦИК хочет отказаться от электронной системы подсчета голосов.	ЦИК может отказаться от электронных средств подсчета голосов.	8
10	1	Москвичи смогут забронировать в Интернете место на кладбище.	В Москве можно будет забронировать место на кладбище через интернет.	11
12	0	В Подмосковье произошел пожар на железной дороге.	В Подмосковье загорелись цистерны с бензином.	13
13	1	Северокорейский лидер впервые за 19 лет поздравил граждан с Новым годом.	Лидер КНДР впервые за 19 лет поздравил сограждан с Новым годом.	14
14	1	Мужчина из Подмосковья случайно убил жену в Новый год.	Житель Подмосковья случайно убил жену на новогоднем застолье.	15
15	0	"Избежать ""фискального обрыва"": Сенат США поддержал повышение налогов."	"Сенат США не допустит ""фискального обрыва""."	16
16	0	"""Фискальный обрыв"" в США временно предотвращен."	"Сенат США не допустит ""фискального обрыва""."	17
17	1	Житель Украины расстрелял посетителей кафе.	На Украине мужчина через окно расстрелял посетителей кафе.	18
18	0	В Кот-Д`Ивуаре десятки человек погибли в давке на новогоднем салюте.	В давке у стадиона в Кот-д’Ивуаре погибли 60 человек.	19
19	0	В Абхазии отомстили за Деда Хасана.	В Абхазии убили врага Деда Хасана.	20
20	0	Чечня попросила националистов составить кодекс поведения кавказцев.	Националисты помогут Чечне составить кодекс поведения кавказцев.	21
21	1	В новогоднюю ночь во Франции сожгли больше тысячи машин.	В новогоднюю ночь во Франции сожгли 1193 автомобиля.	22
