1633	1	У жены мэра Калининграда нашли незадекларированную виллу в Каннах.	У супруги мэра Калининграда нашли виллу в Каннах.	1772
142	0	Ребенок принца Уильяма родится в июле.	Принц Уильям и Кейт Миддлтон станут родителями в июле.	272
492	0	"""Роснефть"" получит 25% в совместном с ExxonMobil проекте Point Thomson."	«Роснефть» получит долю в проекте ExxonMobil на Аляске.	658
2820	1	Хосни Мубарак вылетел из тюрьмы на вертолете.	Мубарак покинул тюрьму на вертолете.	3082
5679	0	Михаил Саакашвили помиловал 18 тысяч осужденных.	Саакашвили помиловал всех условно осужденных.	3750
4756	1	Премьер Японии получил приглашение РФ на празднование 70-летия Победы	Премьера Японии пригласили на празднование 70-летия Победы в Москву	5146
534	0	СК нагрянул с обыском к директору антикоррупционного фонда А.Навального.	К директору фонда Навального пришли с обыском.	681
3229	1	Спецслужбы Израиля сообщили о поимке иранского шпиона.	Израиль сообщил о поимке иранского шпиона.	3514
2714	0	"Суд арестовал еще одну фигурантку дела ""Оборонсервиса""."	По делу «Оборонсервиса» арестовали бухгалтера из Петербурга.	2292
2170	0	За отказ пройти медосвидетельствование Витаса лишили прав на 1,5 года.	Суд лишил Витаса прав.	1994
4026	0	Прокурор просит 6,5 года для предполагаемого виновника гибели М.Голуб.	Прокурор попросил 6,5 лет для виновника гибели Марины Голуб.	2990
260	1	Комитет Госдумы одобрил штрафы за мат в СМИ.	Думский комитет одобрил штрафы за мат в СМИ.	270
2189	0	Экс-премьер-министру Грузии Вано Мерабишвили грозит 12 лет тюрьмы.	Бывший премьер Грузии стал узником действующего.	2060
6132	1	Актера Гаркалина жестоко избили в Москве	Актера Валерия Гаркалина избили в Москве 	24281
935	1	Определена дата референдума о независимости Шотландии.	Названа дата референдума о независимости Шотландии.	992
4988	0	"""Зенит"" заплатит полмиллиона рублей за сожженный фанатом флаг Чечни."	«Зенит» оштрафовали за сожженный фанатом флаг Чечни.	3464
4757	1	Один человек погиб при столкновении двух судов у побережья Италии	Один человек погиб при столкновении судов у берегов Италии	5147
3443	0	"Умер лидер группы ""Король и шут"" Михаил Горшенев."	Умер солист «Короля и шута» Михаил Горшенев.	2730
6625	0	Олимпийские рубли: В обращение выпущены монеты, посвященные Играм в Сочи.	Банк России выпустил в обращение олимпийскую памятную монету.	4168
4776	1	Глава Air Asia призвал не строить предположений о пропавшем самолете.	Глава Air Asia призвал воздержаться от догадок о пропавшем самолете	5167
3991	1	Гавайи окончательно легализовали однополые браки.	На Гавайях узаконили однополые браки.	4321
5805	1	Топ-менеджер Google погиб при сходе лавины на Эвересте	Топ-менеджер Google погиб на Эвересте после землетрясения в Непале	23933
150	0	В московском обменнике у мужчины украли 700 тыс. евро.	Кассир обменного пункта украла у клиента 700 тысяч евро.	293
5265	0	Германия выбирает парламент: А.Меркель идет на третий срок.	В Германии начались парламентские выборы.	3553
6990	0	Пентагон отказался от закупок Ми-17 у России.	Пентагон отказался от новых закупок российских вертолетов.	4377
2138	0	Российские Войска космической обороны были подняты по тревоге.	Российские войска подняли по тревоге для отражения космического нападения.	1970
2946	1	Победителем кинофестиваля в Локарно стал фильм о Казанове.	Победителем фестиваля в Локарно стал фильм о Казанове.	3213
1225	1	Госдума окончательно запретила чиновникам иметь зарубежные счета.	Госдума запретила чиновникам и депутатам иметь счета за рубежом.	1310
1139	0	В Жуковском завершились выборы мэра.	Голосование в Жуковском завершено.	1081
3871	0	Поезд в Индии врезался в толпу людей: погибли десятки паломников.	В Индии поезд врезался в группу паломников.	2937
1999	1	Новое ЧП в московском метро: машиниста убило током.	Машинист московского метро погиб от удара током.	2181
4354	0	"""Оболонь"" перестала поставлять в Россию пиво."	«Оболонь» приостановила отгрузки в Россию.	3128
6090	0	Венесуэла задержала корабль американской нефтекомпании в спорных водах.	Венесуэла задержала судно с американскими нефтяниками.	3873
1002	1	КНДР объявила, что вступает в состояние войны с Южной Кореей.	КНДР объявила войну Южной Корее.	1063
2086	0	Скончался астраханец, впавший в кому после удара курсанта МВД.	Скончался впавший в кому после удара курсанта МВД мужчина.	1954
568	1	Новая военная форма расстроила российских солдат.	Солдаты раскритиковали новую военную форму.	591
518	0	Единороссы предлагают увеличить штрафы за все нарушения ПДД.	Госдуме предложили увеличить штрафы за все нарушения ПДД.	668
4302	1	Роскомнадзор призывает размещать сайты на отечественных хостингах.	Роскомнадзор призвал размещать сайты на российских хостингах.	4649
2831	0	На северо-западе Москвы задержаны 60 участников драки.	После драки в московском общежитии задержали 60 человек.	2404
268	1	Эрмитаж повышает стоимость билетов для россиян.	Эрмитаж повысит цены на билеты для россиян.	279
940	1	Сотрудника Reuters обвинили в работе на хакеров из Anonymous.	Сотрудника Reuters обвинили в сотрудничестве с хакерами Anonymous.	997
4491	1	Россия сумела войти в сотню лучших стран для ведения бизнеса.	Россия вошла в сотню лучших стран для бизнеса.	4856
188	0	"Главным тренером ХК ""Амур"" стал Евгений Попихин."	"Евгений Попихин меняет минское ""Динамо"" на ""Амур""."	353
2114	1	Столетняя жительница Мексики окончила начальную школу.	100-летняя мексиканка закончила начальную школу.	2309
1215	0	В Ереване произошли столкновения оппозиционеров с полицией.	В Ереване после стычек с полицией задержали нескольких активистов.	1216
1967	0	В Казани загорелся крупный торговый центр.	Под Казанью загорелся крупный торговый центр.	1906
4868	0	При пожаре в новгородском интернате погибли 37 человек.	Число погибших в новгородском интернате выросло до 13.	3461
1327	0	10 негритят оппозиции: Теперь КС покинул А.Пионтковский.	Андрей Пионтковский ушел из Координационного совета оппозиции.	1388
4403	0	В международном аэропорту Найроби произошел пожар.	Международный аэропорт Найроби эвакуировали из-за пожара.	3149
926	1	Финляндия заблокирует вступление Румынии и Болгарии в Шенген.	Финляндия выступила против принятия Болгарии и Румынии в Шенген.	983
6536	1	Кадыров готов дать показания в рамках дела об убийстве Немцова	Кадыров заявил о готовности дать показания по делу об убийстве Немцова	24709
829	1	Самой влиятельной женщиной России признали В.Матвиенко.	Матвиенко вновь возглавила рейтинг самых влиятельных женщин России.	873
1205	1	Первый отвод: Защита А.Навального усомнилась в беспристрастности судьи.	Защита Навального заявила отвод судье.	1283
1549	0	Председатель правления Росбанка обвинен в коммерческом подкупе.	"Председатель правления ""Росбанка"" задержан за взятку в пять миллионов."	1631
1495	0	Глава Хабаровского края стал врио губернатора.	Назначен исполняющий обязанности губернатора Хабаровского края.	1522
914	0	Псковский губернатор пообещал избавить жену от активов во Франции.	У жены псковского губернатора нашли имущество во Франции.	914
2250	1	Вячеслав Малафеев готов вернуться в сборную России по футболу.	Малафеев решил вернуться в сборную России по футболу.	2455
4457	1	Велосипедов в Европе стали продавать больше, чем автомобилей.	Велосипеды опередили автомобили по продажам в ЕС.	4815
3862	0	"На Манежной площади проведены ""профилактические"" задержания."	Полиция провела задержания на Манежной площади.	2933
3911	0	Тело пропавшего профессора МГУ нашли на берегу Баренцева моря.	В Мурманской области нашли тело пропавшего профессора МГУ.	2949
2419	1	"Из швейцарской тюрьмы сбежал один из ""Розовых пантер""."	Член банды «Розовая пантера» сбежал из швейцарской тюрьмы.	2637
7178	0	Албания отказалась уничтожать сирийское химоружие.	Албания отказалась утилизировать сирийское оружие.	4426
2132	0	Против активиста ФАР возбуждено дело за наезд на инспектора ГИБДД.	На активиста ФАР Коровина завели дело за наезд на гаишника.	1968
5736	1	Путин выразил соболезнования главе Непала в связи с землетрясением	Президент РФ выразил соболезнования в связи с гибелью людей в Непале	23859
946	1	"Актер Том Круз завел страничку ""ВКонтакте""."	Том Круз завел страницу «ВКонтакте».	1003
960	0	Проверка бюджета Чечни выявила нарушения на 7,9 млрд руб.	В бюджете Чечни нашли нарушения на восемь миллиардов рублей.	975
2762	0	Официальный курс евро упал сразу на 80 копеек.	Центробанк опустил курс евро на 80 копеек.	2310
993	1	Тенор Большого театра арестован за мошенничество.	Тенора Большого театра арестовали по подозрению в мошенничестве.	1053
1698	0	Убийца солдата в Лондоне объяснил свои мотивы в видеообращении.	Убийца военнослужащего в Лондоне объяснил свои действия.	1794
5727	0	Известная учительница музыки была убита в Подмосковье в свой юбилей.	В Подмосковье убили преподавателя музыкальной школы при консерватории.	3785
6201	1	ОБСЕ заявляет об интенсивных обстрелах села Широкино в Донбассе	Наблюдатели ОБСЕ зафиксировали интенсивные бои у деревни Широкино	24358
1366	1	Глава Мосгорсуда не исключила смягчения наказания Pussy Riot.	Глава Мосгорсуда заявила о возможном смягчении приговора Pussy Riot.	1475
4831	0	"Россия и Китай определили условия поставок газа по ""восточному маршруту""."	«Газпром» согласовал условия поставок газа Китаю.	3437
7096	0	Единственная копия завещания Наполеона ушла с молотка за 357 тыс. евро.	Единственную копию завещания Наполеона пустили с молотка.	4397
2439	0	Китай запустил космический корабль с тремя тайконавтами на борту.	Китай запустил «Шэньчжоу-10» с тремя тайконавтами на борту.	2193
448	1	"Виктора Ющенко исключили из партии ""Наша Украина""."	Киевская организация «Нашей Украины» исключила Ющенко из партии.	465
128	1	Тройной теракт в Ираке унес жизни 17 человек.	При тройном теракте в Ираке погибли 17 человек.	131
3824	0	Преступник в немецком Ингольштадте освободил одного из заложников.	Заложники в немецком Ингольштадте освобождены.	2929
990	0	В Москве горит здание ГИТИСа.	У здания ГИТИСа в Москве загорелась крыша.	994
3864	1	Факел Сочинской Олимпиады погрузился на дно Байкала.	Олимпийский факел побывал на дне Байкала.	4186
4048	1	СКР: Процедура экстрадиции священника Г.Грозовского запущена.	Следователи запустили процедуру экстрадиции священника Грозовского.	4384
1662	0	В Генуе контейнеровоз обрушил диспетчерскую вышку.	В Генуе судно врезалось в диспетчерскую вышку.	1761
458	0	"По факту хищений при строительстве ""Зенита"" заведено уголовное дело."	В связи со строительством стадиона «Зенит» возбудили уголовное дело.	618
303	0	"""Линкольн"" отменил рабство в штате Миссисипи."	В штате Миссисипи отменили рабство.	526
673	1	В Великобритании арестованы подозреваемые в продаже конины.	В Великобритании арестовали подозреваемых в продаже конины.	705
2370	0	Кошку британского министра финансов обвиняют в шпионаже.	Кошку британского министра заподозрили в шпионаже.	2157
7182	0	Суд арестовал мэра Астрахани М.Столярова.	Суд арестовал мэра Астрахани.	4427
4553	0	Белый дом направил в Конгресс проект резолюции по Сирии.	Обама направил в Конгресс проект резолюции по Сирии.	3316
2155	0	"Защищать Эрмитаж от посягательств Москвы готовы фанаты ""Зенита""."	Фанаты «Зенита» вступились за Эрмитаж.	1990
6862	0	В СКР рассказали, на чем погорел мэр Астрахани.	СК рассказал о задержании мэра Астрахани.	4316
4569	1	"""Почта России"" откроет ларьки в бизнес-центрах."	«Почта России» решила открыть сеть ларьков.	4943
3666	1	Почте Новой Зеландии разрешили работать три дня в неделю.	Почте Новой Зеландии разрешили работать три раза в неделю.	3977
7003	1	Басманный суд продлил арест Савченко до 30 июня	Надежда Савченко останется под арестом до конца июня	25231
1240	1	ГИБДД обязали общаться с водителями только под объективом камеры.	ГИБДД обязала полицейских общаться с водителями на камеру.	1328
5602	1	Биржевой курс доллара упал ниже 51 руб.	Официальный курс доллара упал ниже 51 рубля	7294
1963	0	Гитара двух покойных битлов продана за 408 тыс. долл.	Гитару The Beatles продали за 408 тысяч долларов.	1905
513	0	МВД: Задержан второй заказчик похищения липецкого депутата.	Второго предполагаемого заказчика убийства липецкого депутата поймали в Анапе.	665
559	0	У берегов Камчатки произошло сильное землетрясение.	У берегов Камчатки произошло землетрясение.	696
1605	0	Неизвестный напал на Джастина Бибера во время концерта.	На Джастина Бибера напали на концерте в Дубае.	1704
3217	1	В Туве автомобиль насмерть сбил четырех человек на остановке.	В Туве автомобиль насмерть сбил на остановке четырех человек.	3501
203	1	Японскую экономику взбодрят вливанием 116,8 млрд долл.	Япония потратит 116 миллиардов долларов на стимулирование экономики.	208
5868	0	Банк Олега Тинькова проведет IPO в Лондоне.	Банк Тинькова объявил о проведении IPO.	3848
3922	1	Полиция назвала имя стрелка из аэропорта Лос-Анджелеса.	Полиция назвала имя открывшего стрельбу в аэропорту Лос-Анджелеса.	4247
2534	0	"На ""Марше против палачей"" прошли задержания."	«Марш против палачей» начался с задержаний.	2227
2307	0	В Нальчике совершено нападение на патруль полиции.	В Нальчике обстрелян полицейский патруль.	2133
1772	1	Депо Московского метрополитена впервые перейдет в частные руки.	Частной компании впервые отдадут депо в московском метро.	1928
2450	1	Король Бельгии решил отречься от престола.	Король Бельгии решил объявить об отречении от престола.	2674
